,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Unnamed: 22,Rating
0,Paul Zipser,CHI,6,22.7,2.5,5.5,0.455,1.0,2.7,0.375,1.3,1.3,1.0,1.2,2.0,0.5,3.0,3.5,0.5,0.2,0.2,7.3,,71
1,Tyler Zeller,BOS,11,7.1,1.2,2.3,0.52,0.0,0.0,0.0,0.5,0.7,0.75,0.4,0.6,0.7,1.0,1.7,0.7,0.0,0.2,2.9,,73
2,Thaddeus Young,IND,4,35.0,5.2,9.8,0.5379999999999999,0.2,1.0,0.25,1.2,2.5,0.5,1.5,2.8,5.5,3.5,9.0,2.5,2.0,0.2,12.0,,77
3,Delon Wright,TOR,9,10.2,1.0,1.9,0.529,0.2,0.7,0.33299999999999996,0.6,0.8,0.7140000000000001,0.6,0.4,0.4,1.0,1.4,1.4,0.4,0.1,2.8,,72
5,Deron Williams,CLE,18,14.6,1.6,3.6,0.43799999999999994,0.7,1.7,0.387,0.6,0.6,0.909,0.9,1.6,0.2,1.1,1.3,2.1,0.6,0.1,4.3,,74
6,Russell Westbrook,OKC,5,38.9,11.8,30.4,0.38799999999999996,2.6,9.8,0.265,11.2,14.0,0.8,6.0,3.2,1.8,9.8,11.6,10.8,2.4,0.4,37.4,,94
7,David West,GSW,17,13.0,2.0,3.5,0.5760000000000001,0.1,0.1,0.5,0.4,0.5,0.778,0.6,1.5,0.4,2.3,2.7,2.1,0.4,0.8,4.5,,74
8,John Wall,WAS,13,39.0,9.8,21.6,0.452,1.6,4.7,0.344,6.0,7.2,0.8390000000000001,4.2,2.0,0.5,3.2,3.7,10.3,1.6,1.2,27.2,,90
9,Dwyane Wade,CHI,6,31.7,5.3,14.3,0.37200000000000005,1.0,2.8,0.353,3.3,3.5,0.9520000000000001,1.7,1.3,1.0,4.0,5.0,4.0,0.8,1.3,15.0,,82
10,Noah Vonleh,POR,4,25.1,2.0,4.5,0.444,0.0,0.0,0.0,0.5,1.2,0.4,1.5,2.8,2.2,5.0,7.2,2.0,0.2,1.0,4.5,,72
11,Jonas Valanciunas,TOR,10,22.6,4.4,8.1,0.5429999999999999,0.0,0.1,0.0,2.4,3.3,0.727,1.3,2.2,0.9,5.8,6.7,0.2,0.2,0.6,11.2,,81
12,Myles Turner,IND,4,33.3,4.8,11.0,0.43200000000000005,0.0,1.5,0.0,1.2,2.0,0.625,1.5,3.8,1.5,5.2,6.8,0.8,1.8,1.2,10.8,,84
13,Evan Turner,POR,4,31.0,3.0,8.2,0.364,1.2,3.8,0.33299999999999996,3.0,4.0,0.75,1.8,1.8,0.8,5.0,5.8,3.8,1.8,0.5,10.2,,74
15,Tristan Thompson,CLE,18,31.2,3.0,5.1,0.5870000000000001,0.0,0.0,0.0,2.2,3.3,0.667,1.2,2.0,3.8,4.5,8.3,1.4,0.5,0.7,8.2,,78
16,Klay Thompson,GSW,17,35.0,5.5,13.9,0.397,2.4,6.2,0.387,1.5,1.9,0.7879999999999999,1.5,2.6,0.6,3.2,3.9,2.1,0.8,0.3,15.0,,90
17,Isaiah Thomas,BOS,15,34.7,7.4,17.4,0.425,2.4,7.2,0.33299999999999996,6.1,7.4,0.82,3.3,2.3,0.3,2.8,3.1,6.7,0.9,0.1,23.3,,89
18,Jason Terry,MIL,6,11.3,1.0,3.0,0.33299999999999996,0.3,1.7,0.2,0.2,0.2,1.0,0.3,1.2,0.3,1.0,1.3,0.8,0.5,0.2,2.5,,69
19,Jeff Teague,IND,4,35.6,5.5,11.2,0.489,2.2,4.2,0.529,3.8,4.5,0.833,2.0,3.0,0.0,3.2,3.2,6.2,1.0,0.8,17.0,,79
20,Lance Stephenson,IND,4,26.8,6.8,13.2,0.509,1.8,4.5,0.389,0.8,1.0,0.75,1.0,2.8,0.2,5.0,5.2,2.8,0.5,0.0,16.0,,75
21,Marreese Speights,LAC,7,14.0,2.3,5.3,0.43200000000000005,1.0,2.9,0.35,1.0,1.4,0.7,0.4,1.9,0.6,2.3,2.9,0.4,0.3,0.4,6.6,,74
22,Tony Snell,MIL,6,30.8,3.7,7.3,0.5,2.7,5.2,0.516,0.0,0.0,0.0,0.3,2.8,0.3,2.0,2.3,1.5,0.2,0.2,10.0,,75
23,Jason Smith,WAS,13,12.1,1.5,3.0,0.48700000000000004,0.2,0.8,0.3,0.8,1.1,0.7140000000000001,0.8,2.3,0.8,1.5,2.3,0.3,0.2,0.6,3.9,,73
25,Marcus Smart,BOS,18,29.9,2.6,7.4,0.35100000000000003,1.6,4.1,0.397,1.8,2.8,0.64,2.1,2.8,1.3,3.4,4.7,4.7,1.5,0.9,8.6,,79
26,Jonathon Simmons,SAS,15,20.4,4.1,9.1,0.456,0.9,2.5,0.35100000000000003,1.4,2.1,0.677,0.7,2.0,0.6,1.3,1.9,1.9,0.6,0.1,10.5,,75
27,Iman Shumpert,CLE,17,16.2,1.5,3.5,0.41700000000000004,0.6,1.5,0.385,0.8,1.0,0.8240000000000001,0.4,1.9,0.4,2.4,2.8,0.9,0.6,0.2,4.4,,73
28,Wayne Selden,MEM,6,17.7,1.5,4.3,0.34600000000000003,0.3,1.8,0.182,0.5,0.7,0.75,0.3,1.3,0.5,1.0,1.5,1.2,0.2,0.2,3.8,,70
30,Terry Rozier,BOS,17,16.3,1.9,4.8,0.402,0.8,2.2,0.368,0.9,1.2,0.8,0.6,1.2,0.7,1.9,2.6,1.9,0.6,0.2,5.6,,74
31,Andre Roberson,OKC,5,37.1,4.8,9.2,0.522,1.4,3.4,0.41200000000000003,0.6,4.2,0.14300000000000002,1.4,3.0,3.6,2.6,6.2,1.8,2.4,3.4,11.6,,76
32,Austin Rivers,LAC,3,30.1,3.0,8.7,0.34600000000000003,1.3,4.3,0.308,0.7,0.7,1.0,1.7,2.0,0.3,2.3,2.7,0.7,0.3,0.3,8.0,,80
34,Zach Randolph,MEM,6,31.9,5.8,13.8,0.42200000000000004,0.2,1.2,0.14300000000000002,1.3,1.8,0.727,1.2,2.3,1.5,6.7,8.2,0.7,0.8,0.3,13.2,,80
35,Taurean Prince,ATL,6,31.2,4.8,8.7,0.5579999999999999,0.7,2.3,0.28600000000000003,0.8,0.8,1.0,1.2,1.5,1.2,4.2,5.3,1.3,0.3,0.2,11.2,,75
36,Norman Powell,TOR,9,25.2,3.9,9.1,0.42700000000000005,1.7,3.8,0.441,2.2,2.7,0.833,1.7,2.8,0.6,2.6,3.1,1.6,1.1,0.3,11.7,,75
37,Bobby Portis,CHI,6,20.1,2.8,5.5,0.515,1.0,2.2,0.462,0.0,0.0,0.0,1.0,1.7,0.8,5.2,6.0,1.2,0.5,0.5,6.7,,76
38,Otto Porter,WAS,13,32.9,4.5,8.4,0.532,0.8,3.0,0.282,2.4,2.7,0.8859999999999999,0.8,2.0,1.2,5.7,6.8,1.8,1.7,0.5,12.2,,80
40,Chris Paul,LAC,7,37.2,9.6,19.3,0.496,2.0,5.4,0.368,4.1,4.7,0.879,2.7,3.4,0.6,4.4,5.0,9.9,1.7,0.1,25.3,,91
41,Patrick Patterson,TOR,10,18.5,1.0,3.6,0.278,0.8,2.6,0.308,0.6,0.6,1.0,0.6,0.4,0.1,1.9,2.0,2.0,0.7,0.2,3.4,,75
42,Tony Parker,SAS,8,26.4,6.4,12.1,0.526,1.4,2.4,0.579,1.8,1.8,1.0,1.5,1.2,0.2,2.2,2.5,3.1,0.5,0.0,15.9,,77
43,Zaza Pachulia,GSW,15,14.1,2.1,4.0,0.5329999999999999,0.0,0.1,0.0,0.9,1.1,0.765,0.9,2.1,1.1,2.6,3.7,0.8,0.5,0.3,5.1,,76
45,Kelly Olynyk,BOS,18,19.2,3.6,6.9,0.512,0.8,2.6,0.319,1.2,1.7,0.733,1.2,2.6,0.8,2.4,3.2,1.9,0.7,0.8,9.2,,75
46,Victor Oladipo,OKC,5,36.2,4.2,12.2,0.344,1.2,5.0,0.24,1.2,1.2,1.0,1.2,3.4,0.4,5.2,5.6,2.0,1.4,0.6,10.8,,79
49,Mike Muscala,ATL,6,13.5,0.8,3.0,0.278,0.0,0.7,0.0,1.2,1.3,0.875,0.2,2.0,1.0,1.7,2.7,0.3,0.2,0.5,2.8,,74
50,Dejounte Murray,SAS,11,15.3,2.1,5.5,0.377,0.0,0.3,0.0,1.5,2.3,0.68,1.5,1.3,0.4,2.1,2.5,2.5,1.5,0.1,5.7,,73
51,Markieff Morris,WAS,13,28.7,4.5,11.2,0.40700000000000003,1.1,2.9,0.368,1.9,2.4,0.8059999999999999,1.6,3.5,1.4,5.0,6.4,1.7,0.9,1.3,12.1,,78
52,Greg Monroe,MIL,6,23.5,4.5,8.5,0.529,0.0,0.0,0.0,4.2,5.0,0.833,1.8,2.7,2.8,4.5,7.3,1.7,1.3,0.5,13.2,,80
53,Nikola Mirotic,CHI,6,27.0,2.8,8.3,0.34,1.7,5.8,0.28600000000000003,1.3,1.7,0.8,0.7,2.7,0.7,4.3,5.0,1.5,0.7,0.5,8.7,,76
54,Paul Millsap,ATL,6,36.6,8.3,16.5,0.505,0.5,2.8,0.17600000000000002,7.2,8.8,0.8109999999999999,3.8,3.2,1.5,7.8,9.3,4.3,1.7,0.7,24.3,,87
57,Khris Middleton,MIL,6,38.5,5.2,13.0,0.397,1.2,3.2,0.368,3.0,3.7,0.818,1.8,2.8,0.0,4.7,4.7,5.3,2.0,0.0,14.5,,81
58,JaVale McGee,GSW,16,9.3,2.6,3.5,0.732,0.0,0.0,0.0,0.8,1.1,0.722,0.5,1.9,1.4,1.6,3.0,0.2,0.1,0.9,5.9,,76
59,Doug McDermott,OKC,5,13.3,1.8,3.6,0.5,1.4,2.6,0.5379999999999999,0.0,0.0,0.0,0.2,0.4,0.0,1.0,1.0,0.2,0.2,0.2,5.0,,73
61,Patrick McCaw,GSW,15,12.1,1.4,3.2,0.43799999999999994,0.5,1.5,0.348,0.7,0.9,0.846,0.2,0.9,0.7,1.5,2.2,1.1,0.6,0.2,4.1,,73
62,Luc Mbah a Moute,LAC,7,32.0,2.4,6.1,0.395,0.7,2.3,0.312,2.0,2.9,0.7,0.4,2.3,1.4,3.4,4.9,1.0,1.1,0.6,7.6,,76
63,Thon Maker,MIL,6,19.4,2.0,5.2,0.387,0.3,1.7,0.2,1.5,1.8,0.818,1.3,3.0,1.3,1.8,3.2,2.0,0.8,1.8,5.8,,75
64,Ian Mahinmi,WAS,5,12.5,1.0,1.8,0.556,0.0,0.0,0.0,0.8,2.2,0.364,0.6,3.4,0.6,1.6,2.2,1.2,0.2,1.2,2.8,,74
65,Shelvin Mack,UTA,9,17.2,1.9,5.4,0.34700000000000003,0.8,1.7,0.467,1.4,1.7,0.867,1.0,1.6,0.3,2.4,2.8,2.0,0.4,0.0,6.0,,73
