,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
0,Russell Westbrook,OKC,81,34.6,10.2,24.0,0.425,2.5,7.2,0.34299999999999997,8.8,10.4,0.845,5.4,2.3,1.7,9.0,10.7,10.4,1.6,0.4,31.6,94
1,James Harden,HOU,81,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,9.2,10.9,0.847,5.7,2.7,1.2,7.0,8.1,11.2,1.5,0.5,29.1,95
2,Isaiah Thomas,BOS,76,33.8,9.0,19.4,0.46299999999999997,3.2,8.5,0.379,7.8,8.5,0.909,2.8,2.2,0.6,2.1,2.7,5.9,0.9,0.2,28.9,89
3,Anthony Davis,NOP,75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,6.9,8.6,0.802,2.4,2.2,2.3,9.5,11.8,2.1,1.3,2.2,28.0,94
4,DeMar DeRozan,TOR,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,7.4,8.7,0.8420000000000001,2.4,1.8,0.9,4.3,5.2,3.9,1.1,0.2,27.3,89
5,Damian Lillard,POR,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,2.6,2.0,0.6,4.3,4.9,5.9,0.9,0.3,27.0,89
6,DeMarcus Cousins,NOP,72,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,9.3,0.772,3.7,3.9,2.1,8.9,11.0,4.6,1.4,1.3,27.0,92
7,LeBron James,CLE,74,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,4.8,7.2,0.674,4.1,1.8,1.3,7.3,8.6,8.7,1.2,0.6,26.4,97
8,Kawhi Leonard,SAS,74,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.3,7.2,0.88,2.1,1.6,1.1,4.7,5.8,3.5,1.8,0.7,25.5,95
9,Stephen Curry,GSW,79,33.4,8.5,18.3,0.46799999999999997,4.1,10.0,0.41100000000000003,4.1,4.6,0.898,3.0,2.3,0.8,3.7,4.5,6.6,1.8,0.2,25.3,94
10,Kyrie Irving,CLE,72,35.1,9.3,19.7,0.473,2.5,6.1,0.401,4.1,4.6,0.905,2.5,2.2,0.7,2.5,3.2,5.8,1.2,0.3,25.2,90
11,Karl-Anthony Towns,MIN,82,37.0,9.8,18.0,0.542,1.2,3.4,0.36700000000000005,4.3,5.2,0.8320000000000001,2.6,2.9,3.6,8.7,12.3,2.7,0.7,1.3,25.1,90
12,Kevin Durant,GSW,62,33.4,8.9,16.5,0.537,1.9,5.0,0.375,5.4,6.2,0.875,2.2,1.9,0.6,7.6,8.3,4.8,1.1,1.6,25.1,96
13,Jimmy Butler,CHI,76,37.0,7.5,16.5,0.455,1.2,3.3,0.36700000000000005,7.7,8.9,0.865,2.1,1.5,1.7,4.5,6.2,5.5,1.9,0.4,23.9,90
14,Paul George,IND,75,35.9,8.3,18.0,0.462,2.6,6.6,0.39399999999999996,4.5,5.0,0.898,2.9,2.7,0.8,5.8,6.6,3.3,1.6,0.4,23.7,91
15,Andrew Wiggins,MIN,82,37.2,8.6,19.1,0.452,1.3,3.5,0.35600000000000004,5.0,6.6,0.76,2.3,2.2,1.2,2.8,4.0,2.3,1.0,0.4,23.6,86
16,Kemba Walker,CHA,79,34.7,8.1,18.4,0.44299999999999995,3.0,7.6,0.39899999999999997,3.8,4.5,0.847,2.1,1.5,0.6,3.3,3.9,5.5,1.1,0.3,23.2,86
17,John Wall,WAS,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,5.4,6.8,0.8009999999999999,4.1,1.9,0.8,3.4,4.2,10.7,2.0,0.6,23.1,90
18,Bradley Beal,WAS,77,34.9,8.3,17.2,0.48200000000000004,2.9,7.2,0.40399999999999997,3.7,4.4,0.825,2.0,2.2,0.7,2.4,3.1,3.5,1.1,0.3,23.1,87
20,Giannis Antetokounmpo,MIL,80,35.6,8.2,15.7,0.521,0.6,2.2,0.272,5.9,7.7,0.77,2.9,3.1,1.8,7.0,8.8,5.4,1.6,1.9,22.9,91
21,Carmelo Anthony,NYK,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,4.1,4.9,0.833,2.1,2.7,0.8,5.1,5.9,2.9,0.8,0.5,22.4,84
22,Kyle Lowry,TOR,60,37.4,7.1,15.3,0.46399999999999997,3.2,7.8,0.41200000000000003,5.0,6.1,0.8190000000000001,2.9,2.8,0.8,4.0,4.8,7.0,1.5,0.3,22.4,87
23,Klay Thompson,GSW,78,34.0,8.3,17.6,0.46799999999999997,3.4,8.3,0.414,2.4,2.8,0.853,1.6,1.8,0.6,3.0,3.7,2.1,0.8,0.5,22.3,90
24,Devin Booker,PHX,78,35.0,7.8,18.3,0.423,1.9,5.2,0.363,4.7,5.7,0.8320000000000001,3.1,3.1,0.6,2.6,3.2,3.4,0.9,0.3,22.1,85
25,Gordon Hayward,UTA,73,34.5,7.5,15.8,0.47100000000000003,2.0,5.1,0.39799999999999996,5.0,5.9,0.8440000000000001,1.9,1.6,0.7,4.7,5.4,3.5,1.0,0.3,21.9,88
26,Blake Griffin,LAC,61,34.0,7.9,15.9,0.493,0.6,1.9,0.336,5.2,6.9,0.76,2.3,2.6,1.8,6.3,8.1,4.9,0.9,0.4,21.6,87
27,Eric Bledsoe,PHX,66,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.9,6.9,0.847,3.4,2.5,0.8,4.1,4.8,6.3,1.4,0.5,21.1,84
28,Brook Lopez,BRK,75,29.6,7.4,15.6,0.474,1.8,5.2,0.34600000000000003,3.9,4.9,0.81,2.5,2.6,1.6,3.8,5.4,2.3,0.5,1.7,20.5,84
29,Mike Conley,MEM,69,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.6,5.3,0.8590000000000001,2.3,1.8,0.4,3.0,3.5,6.3,1.3,0.3,20.5,87
30,Goran Dragic,MIA,73,33.7,7.3,15.4,0.475,1.6,4.0,0.405,4.1,5.2,0.79,2.9,2.7,0.8,3.0,3.8,5.8,1.2,0.2,20.3,85
31,Marc Gasol,MEM,74,34.2,7.2,15.7,0.45899999999999996,1.4,3.6,0.38799999999999996,3.8,4.5,0.8370000000000001,2.2,2.3,0.8,5.5,6.3,4.6,0.9,1.3,19.5,89
32,Harrison Barnes,DAL,79,35.5,7.6,16.2,0.46799999999999997,1.0,2.8,0.35100000000000003,3.1,3.6,0.861,1.3,1.6,1.2,3.8,5.0,1.5,0.8,0.2,19.2,81
33,Kevin Love,CLE,60,31.4,6.2,14.4,0.42700000000000005,2.4,6.5,0.373,4.3,4.9,0.871,2.0,2.1,2.5,8.6,11.1,1.9,0.9,0.3,19.0,87
34,Dwyane Wade,CHI,60,29.9,6.9,15.9,0.434,0.8,2.4,0.31,3.7,4.7,0.794,2.3,1.9,1.1,3.5,4.5,3.8,1.4,0.7,18.3,82
35,Danilo Gallinari,DEN,63,33.9,5.3,11.9,0.447,2.0,5.1,0.389,5.5,6.1,0.902,1.3,1.5,0.6,4.5,5.2,2.1,0.6,0.2,18.2,81
36,Kristaps Porzingis,NYK,66,32.8,6.7,14.9,0.45,1.7,4.8,0.35700000000000004,3.0,3.8,0.7859999999999999,1.8,3.7,1.7,5.5,7.2,1.5,0.7,2.0,18.1,86
37,Chris Paul,LAC,61,31.5,6.1,12.9,0.47600000000000003,2.0,5.0,0.41100000000000003,3.8,4.3,0.892,2.4,2.4,0.7,4.3,5.0,9.2,2.0,0.1,18.1,91
38,Paul Millsap,ATL,69,34.0,6.2,14.1,0.442,1.1,3.5,0.311,4.5,5.9,0.768,2.3,2.7,1.6,6.1,7.7,3.7,1.3,0.9,18.1,87
39,Derrick Rose,NYK,64,32.5,7.2,15.3,0.47100000000000003,0.2,0.9,0.217,3.5,4.0,0.8740000000000001,2.3,1.3,1.0,2.8,3.8,4.4,0.7,0.3,18.0,78
42,LaMarcus Aldridge,SAS,72,32.4,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,3.1,3.8,0.812,1.4,2.2,2.4,4.9,7.3,1.9,0.6,1.2,17.3,85
43,Evan Fournier,ORL,68,32.8,6.0,13.7,0.439,1.9,5.3,0.35600000000000004,3.3,4.1,0.805,2.1,2.6,0.6,2.4,3.1,3.0,1.0,0.1,17.2,78
44,Hassan Whiteside,MIA,77,32.6,7.0,12.6,0.557,0.0,0.0,0.0,2.9,4.6,0.628,2.0,2.9,3.8,10.3,14.1,0.7,0.7,2.1,17.0,87
