,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
0,,1,Kevin Durant,GSW,12,36.8,10.4,20.2,0.514,2.9,6.7,0.43799999999999994,8.5,9.4,0.903,3.6,3.2,0.1,4.8,4.9,4.5,1.1,1.0,32.2,96
1,,2,James Harden,HOU,11,38.6,9.9,24.0,0.413,4.4,12.5,0.35,7.5,8.9,0.8370000000000001,4.6,3.7,0.8,6.1,6.9,6.6,2.2,0.9,31.6,96
2,,3,Kawhi Leonard,TOR,24,39.1,10.1,20.7,0.49,2.3,6.0,0.379,8.0,9.0,0.884,3.1,2.3,2.2,6.8,9.1,3.9,1.7,0.7,30.5,97
3,,4,Paul George,OKC,5,40.8,8.8,20.2,0.436,3.0,9.4,0.319,8.0,9.8,0.816,4.0,4.2,1.2,7.4,8.6,3.6,1.4,0.2,28.6,93
4,,5,Stephen Curry,GSW,22,38.4,8.6,19.6,0.441,4.2,11.1,0.377,6.7,7.1,0.943,3.0,3.1,0.8,5.2,6.0,5.7,1.1,0.2,28.2,95
5,,6,Damian Lillard,POR,16,40.6,8.6,20.6,0.418,3.7,9.9,0.373,5.9,7.1,0.833,3.8,2.5,0.5,4.2,4.8,6.6,1.7,0.3,26.9,92
6,,7,Giannis Antetokounmpo,MIL,15,34.3,8.6,17.5,0.49200000000000005,1.2,3.7,0.327,7.1,11.2,0.637,3.3,3.2,2.5,9.8,12.3,4.9,1.1,2.0,25.5,96
7,,8,Nikola Jokic,DEN,14,39.8,9.4,18.6,0.506,1.6,4.0,0.39299999999999996,4.7,5.6,0.846,2.6,3.9,3.9,9.1,13.0,8.4,1.1,0.9,25.1,90
9,,10,Russell Westbrook,OKC,5,39.5,8.0,22.2,0.36,2.2,6.8,0.324,4.6,5.2,0.885,4.6,3.8,1.4,7.4,8.8,10.6,1.0,0.6,22.8,90
10,,11,DeMar DeRozan,SAS,7,35.8,8.3,17.0,0.48700000000000004,0.0,0.1,0.0,5.4,6.3,0.8640000000000001,1.7,2.3,1.4,5.3,6.7,4.6,1.1,0.1,22.0,87
12,,13,Donovan Mitchell,UTA,5,38.6,7.2,22.4,0.321,2.2,8.6,0.256,4.8,6.6,0.727,4.2,3.0,1.4,3.6,5.0,3.2,1.6,0.2,21.4,88
13,,14,Kyrie Irving,BOS,9,36.7,7.7,19.9,0.385,2.0,6.4,0.31,4.0,4.4,0.9,3.1,2.9,0.6,3.9,4.4,7.0,1.3,0.4,21.3,91
14,,15,Jamal Murray,DEN,14,36.3,7.6,18.0,0.425,2.0,5.9,0.337,4.0,4.4,0.903,1.6,1.7,1.4,3.0,4.4,4.7,1.0,0.1,21.3,84
15,,16,Caris LeVert,BRK,5,28.9,7.2,14.6,0.493,2.4,5.2,0.462,4.2,5.8,0.7240000000000001,2.0,1.6,1.2,3.4,4.6,3.0,1.0,0.4,21.0,78
16,,17,Klay Thompson,GSW,21,39.0,7.8,17.1,0.456,3.3,7.5,0.44299999999999995,1.8,2.0,0.902,1.8,2.8,0.6,3.5,4.1,2.1,1.3,0.7,20.7,89
17,,18,Joel Embiid,PHI,11,30.4,6.2,14.5,0.428,1.1,3.5,0.308,6.7,8.2,0.8220000000000001,3.6,3.1,1.9,8.5,10.5,3.4,0.7,2.3,20.2,91
18,,19,LaMarcus Aldridge,SAS,7,34.9,7.9,17.3,0.455,0.4,1.6,0.273,3.9,4.7,0.818,1.0,3.0,2.7,6.9,9.6,2.7,0.7,1.0,20.0,87
19,,20,Danilo Gallinari,LAC,6,33.6,6.5,18.5,0.35100000000000003,2.2,7.2,0.302,4.7,5.5,0.848,1.8,2.3,1.5,4.7,6.2,2.7,1.3,0.2,19.8,83
20,,21,Jimmy Butler,PHI,12,35.1,6.6,14.6,0.451,1.0,3.8,0.267,5.2,6.0,0.875,1.8,1.7,1.8,4.2,6.1,5.2,1.4,0.6,19.4,88
21,,22,D'Angelo Russell,BRK,5,29.6,7.4,20.6,0.359,2.4,7.4,0.324,2.2,2.6,0.846,2.8,2.4,0.4,3.2,3.6,3.6,1.4,0.2,19.4,87
22,,23,Pascal Siakam,TOR,24,37.1,7.5,16.0,0.47,1.2,4.3,0.27899999999999997,2.8,3.6,0.759,1.4,2.8,1.6,5.5,7.1,2.8,1.0,0.7,19.0,87
23,,24,Montrezl Harrell,LAC,6,26.3,7.7,10.5,0.73,0.0,0.2,0.0,3.0,4.3,0.6920000000000001,1.3,3.2,2.0,3.5,5.5,2.2,0.5,0.7,18.3,83
24,,25,Bojan Bogdanovic,IND,4,36.9,6.2,15.8,0.397,1.8,5.5,0.318,3.8,4.2,0.882,1.5,1.8,0.8,5.0,5.8,2.8,2.0,0.0,18.0,83
25,,26,Eric Gordon,HOU,11,37.2,6.1,13.6,0.447,3.5,8.6,0.4,2.2,2.5,0.857,2.5,2.0,0.5,2.0,2.5,1.3,0.6,1.0,17.8,78
26,,27,Reggie Jackson,DET,4,26.9,7.0,16.2,0.431,2.2,5.2,0.429,1.5,1.8,0.857,1.2,3.0,1.2,2.0,3.2,7.0,0.8,0.0,17.8,80
27,,28,Chris Paul,HOU,11,36.1,6.0,13.5,0.446,1.5,5.7,0.27,3.5,4.1,0.8440000000000001,3.4,3.3,1.3,5.1,6.4,5.5,2.2,0.6,17.0,85
