name,rating
LeBron James,97
Kevin Durant,96
James Harden,95
Kawhi Leonard,95
Stephen Curry,94
Anthony Davis,94
Russell Westbrook,94
DeMarcus Cousins,92
Giannis Antetokounmpo,91
Paul George,91
Chris Paul,91
Jimmy Butler,90
Kyrie Irving,90
Klay Thompson,90
Karl-Anthony Towns,90
John Wall,90
DeMar DeRozan,89
Marc Gasol,89
Damian Lillard,89
Isaiah Thomas,89
Rudy Gobert,88
Draymond Green,88
Gordon Hayward,88
Nikola Jokic,88
Bradley Beal,87
Mike Conley,87
Blake Griffin,87
DeAndre Jordan,87
Kevin Love,87
Kyle Lowry,87
Paul Millsap,87
Hassan Whiteside,87
Joel Embiid,86
CJ McCollum,86
Kristaps Porzingis,86
Kemba Walker,86
Andrew Wiggins,86
LaMarcus Aldridge,85
Devin Booker,85
Goran Dragic,85
Andre Drummond,85
Carmelo Anthony,84
Eric Bledsoe,84
Brook Lopez,84
Myles Turner,84
Avery Bradley,83
Al Horford,83
Steven Adams,82
George Hill,82
Dwyane Wade,82
Harrison Barnes,81
Danilo Gallinari,81
Pau Gasol,81
Rudy Gay,81
Gary Harris,81
Dwight Howard,81
Khris Middleton,81
Jabari Parker,81
Jonas Valanciunas,81
Louis Williams,81
Lonzo Ball,80
Jae Crowder,80
Markelle Fultz,80
Eric Gordon,80
Tim Hardaway Jr,80
Jrue Holiday,80
Serge Ibaka,80
Enes Kanter,80
Zach LaVine,80
Greg Monroe,80
Dirk Nowitzki,80
Otto Porter,80
Zach Randolph,80
Austin Rivers,80
D'Angelo Russell,80
Nikola Vucevic,80
Dion Waiters,80
Nicolas Batum,79
Patrick Beverley,79
Kentavious Caldwell-Pope,79
Clint Capela,79
Andre Iguodala,79
James Johnson,79
Jusuf Nurkic,79
Victor Oladipo,79
JJ Redick,79
Ricky Rubio,79
Dennis Schroeder,79
Ben Simmons,79
Marcus Smart,79
Jeff Teague,79
Tony Allen,78
Ryan Anderson,78
Trevor Ariza,78
Malcolm Brogdon,78
Wilson Chandler,78
Darren Collison,78
Robert Covington,78
Kenneth Faried,78
Derrick Favors,78
Evan Fournier,78
Aaron Gordon,78
Marcin Gortat,78
Tobias Harris,78
Rodney Hood,78
Joe Ingles,78
Josh Jackson,78
Jeremy Lin,78
Markieff Morris,78
Nerlens Noel,78
Julius Randle,78
Derrick Rose,78
Dario Saric,78
Tristan Thompson,78
TJ Warren,78
Will Barton,77
Bojan Bogdanovic,77
Jordan Clarkson,77
Jamal Crawford,77
Seth Curry,77
Dewayne Dedmon,77
Tyreke Evans,77
De'Aaron Fox,77
Willy Hernangomez,77
Buddy Hield,77
Nenê,77
Reggie Jackson,77
Tyler Johnson,77
Michael Kidd-Gilchrist,77
Wesley Matthews,77
Patrick Mills,77
Marcus Morris,77
Jamal Murray,77
